/home/chris/miniconda3/envs/marlo/bin/python /home/chris/Desktop/lunar-lander/train_agent1.py --verbose --overwrite
/home/chris/miniconda3/envs/marlo/lib/python3.6/site-packages/gymnasium/core.py:27: UserWarning: WARN: Gymnasium minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+
  "Gymnasium minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+"
/home/chris/miniconda3/envs/marlo/lib/python3.6/site-packages/gym/core.py:27: UserWarning: WARN: Gym minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+
  "Gym minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+"
dimension of state space = 15
number of actions = 7
| episode | return          | minimal return      | mean return        |
|         | (this episode)  | (last 20 episodes)  | (last 20 episodes) |
|-----------------------------------------------------------------------

|     100 |     -176.100    |       -218.200      |      -196.440      |


|     101 |     -215.300    |       -218.200      |      -199.145      |

|     102 |     -185.400    |       -218.200      |      -197.865      |

|     103 |     -205.900    |       -218.200      |      -197.935      |

|     104 |     -220.800    |       -220.800      |      -198.240      |

|     105 |     -183.300    |       -220.800      |      -196.495      |

|     106 |     -209.600    |       -220.800      |      -197.740      |

|     107 |     -212.900    |       -220.800      |      -197.595      |

|     108 |     -212.400    |       -220.800      |      -197.770      |

|     109 |     -199.900    |       -220.800      |      -197.220      |

|     110 |     -201.300    |       -220.800      |      -196.845      |

|     111 |     -150.800    |       -220.800      |      -194.470      |

|     112 |     -210.300    |       -220.800      |      -194.105      |

|     113 |     -221.700    |       -221.700      |      -196.385      |

|     114 |     -156.500    |       -221.700      |      -194.155      |

|     115 |     -205.900    |       -221.700      |      -193.895      |

|     116 |     -198.900    |       -221.700      |      -195.295      |

|     117 |     -177.500    |       -221.700      |      -196.525      |

|     118 |     -205.700    |       -221.700      |      -197.585      |

|     119 |     -204.700    |       -221.700      |      -197.745      |

|     120 |     -200.000    |       -221.700      |      -198.940      |

|     121 |     -210.200    |       -221.700      |      -198.685      |

|     122 |       54.200    |       -221.700      |      -186.705      |

|     123 |     -205.600    |       -221.700      |      -186.690      |

|     124 |     -203.800    |       -221.700      |      -185.840      |

|     125 |     -113.500    |       -221.700      |      -182.350      |

|     126 |     -108.200    |       -221.700      |      -177.280      |

|     127 |     -207.400    |       -221.700      |      -177.005      |

|     128 |       58.300    |       -221.700      |      -163.470      |

|     129 |     -142.900    |       -221.700      |      -160.620      |

|     130 |     -201.000    |       -221.700      |      -160.605      |

|     131 |     -175.200    |       -221.700      |      -161.825      |

|     132 |     -167.400    |       -221.700      |      -159.680      |

|     133 |     -170.000    |       -210.200      |      -157.095      |

|     134 |     -206.400    |       -210.200      |      -159.590      |

|     135 |     -221.600    |       -221.600      |      -160.375      |

|     136 |     -181.300    |       -221.600      |      -159.495      |

|     137 |     -216.400    |       -221.600      |      -161.440      |

|     138 |     -203.500    |       -221.600      |      -161.330      |

|     139 |     -211.000    |       -221.600      |      -161.645      |

|     140 |     -199.500    |       -221.600      |      -161.620      |

|     141 |     -145.700    |       -221.600      |      -158.395      |

|     142 |     -175.400    |       -221.600      |      -169.875      |

|     143 |     -181.700    |       -221.600      |      -168.680      |

|     144 |     -218.900    |       -221.600      |      -169.435      |

|     145 |     -203.300    |       -221.600      |      -173.925      |

|     146 |     -220.900    |       -221.600      |      -179.560      |

|     147 |     -208.300    |       -221.600      |      -179.605      |



|     148 |     -220.300    |       -221.600      |      -193.535      |

|     149 |     -219.400    |       -221.600      |      -197.360      |

|     150 |     -184.500    |       -221.600      |      -196.535      |


|     151 |     -152.200    |       -221.600      |      -195.385      |

|     152 |     -221.200    |       -221.600      |      -198.075      |

|     153 |     -215.400    |       -221.600      |      -200.345      |

|     154 |     -196.800    |       -221.600      |      -199.865      |

|     155 |     -219.900    |       -221.200      |      -199.780      |

|     156 |     -153.300    |       -221.200      |      -198.380      |

|     157 |     -180.100    |       -221.200      |      -196.565      |

|     158 |     -214.000    |       -221.200      |      -197.090      |

|     159 |     -156.700    |       -221.200      |      -194.375      |

|     160 |     -185.500    |       -221.200      |      -193.675      |

|     161 |     -212.100    |       -221.200      |      -196.995      |

|     162 |     -121.300    |       -221.200      |      -194.290      |

|     163 |     -209.700    |       -221.200      |      -195.690      |



|     164 |     -151.100    |       -221.200      |      -192.300      |

|     165 |     -186.700    |       -221.200      |      -191.470      |

|     166 |     -145.400    |       -221.200      |      -187.695      |

|     167 |     -143.100    |       -221.200      |      -184.435      |

|     168 |     -213.600    |       -221.200      |      -184.100      |

|     169 |     -218.200    |       -221.200      |      -184.040      |

|     170 |     -182.300    |       -221.200      |      -183.930      |

|     171 |     -211.600    |       -221.200      |      -186.900      |

|     172 |     -215.800    |       -219.900      |      -186.630      |

|     173 |     -147.900    |       -219.900      |      -183.255      |

|     174 |     -137.200    |       -219.900      |      -180.275      |

|     175 |      -73.400    |       -218.200      |      -172.950      |

|     176 |     -186.700    |       -218.200      |      -174.620      |

|     177 |     -217.600    |       -218.200      |      -176.495      |

|     178 |     -188.900    |       -218.200      |      -175.240      |

|     179 |     -183.800    |       -218.200      |      -176.595      |

|     180 |     -147.600    |       -218.200      |      -174.700      |


|     181 |     -213.700    |       -218.200      |      -174.780      |

|     182 |     -202.400    |       -218.200      |      -178.835      |

|     183 |     -210.500    |       -218.200      |      -178.875      |

|     184 |     -221.100    |       -221.100      |      -182.375      |

|     185 |     -186.700    |       -221.100      |      -182.375      |

|     186 |     -208.200    |       -221.100      |      -185.515      |

|     187 |     -178.800    |       -221.100      |      -187.300      |

|     188 |     -182.100    |       -221.100      |      -185.725      |

|     189 |     -219.800    |       -221.100      |      -185.805      |

|     190 |     -222.800    |       -222.800      |      -187.830      |

|     191 |     -210.300    |       -222.800      |      -187.765      |

|     192 |     -164.900    |       -222.800      |      -185.220      |

|     193 |     -205.100    |       -222.800      |      -188.080      |

|     194 |     -176.400    |       -222.800      |      -190.040      |

|     195 |     -210.600    |       -222.800      |      -196.900      |

|     196 |     -164.600    |       -222.800      |      -195.795      |

|     197 |     -180.200    |       -222.800      |      -193.925      |

|     198 |     -190.400    |       -222.800      |      -194.000      |

|     199 |     -193.300    |       -222.800      |      -194.475      |

|     200 |     -122.600    |       -222.800      |      -193.225      |



|     201 |     -213.900    |       -222.800      |      -193.235      |

|     202 |     -169.700    |       -222.800      |      -191.600      |

|     203 |     -225.700    |       -225.700      |      -192.360      |

|     204 |     -187.600    |       -225.700      |      -190.685      |

|     205 |     -216.500    |       -225.700      |      -192.175      |

|     206 |     -208.300    |       -225.700      |      -192.180      |

|     207 |     -215.600    |       -225.700      |      -194.020      |

|     208 |     -209.300    |       -225.700      |      -195.380      |

|     209 |     -156.400    |       -225.700      |      -192.210      |

|     210 |     -208.200    |       -225.700      |      -191.480      |

|     211 |     -181.800    |       -225.700      |      -190.055      |

|     212 |     -194.000    |       -225.700      |      -191.510      |

|     213 |      -88.100    |       -225.700      |      -185.660      |

|     214 |     -210.300    |       -225.700      |      -187.355      |

|     215 |     -180.200    |       -225.700      |      -185.835      |



|     216 |     -209.500    |       -225.700      |      -188.080      |

|     217 |     -168.900    |       -225.700      |      -187.515      |

|     218 |     -218.500    |       -225.700      |      -188.920      |



|     219 |     -117.900    |       -225.700      |      -185.150      |

|     220 |     -154.000    |       -225.700      |      -186.720      |

